Wavelength, nm	Sc/Rc	Wavelength	Signal	Baseline_Result	Baseline_Y
Raw CCD	counts/uA	nm	Sc/Rc		
	Fully Corrected Emission Spectrum		Water Raman		Baseline of "Signal"
247.409	9.09528026009132	365	221.183800184289	365	221.07178319012
248.53	11.6606157180658	365.5	219.319956116761	365.5	219.793871608518
249.652	-1.63248620052921	366	219.602945971931	366	218.515960026916
250.774	8.84755594301735	366.5	209.931110423697	366.5	217.238048445315
251.895	4.9426449019443	367	188.823844924033	367	215.960136863713
253.018	-4.74234500840679	367.5	177.499292723098	367.5	214.682225282111
254.14	17.8025948932123	368	192.682484625354	368	213.404313700509
255.263	9.76832156468209	368.5	215.925391232629	368.5	212.126402118908
256.386	-4.80822660664263	369	220.562982721999	369	210.848490537306
257.509	-13.5018449373492	369.5	209.166236196436	369.5	209.570578955704
258.632	1.7860833649291	370	203.73000671502	370	208.292667374102
259.756	12.4714294600671	370.5	211.836095062391	370.5	207.0147557925
260.88	-4.81242683064757	371	219.724579590575	371	205.736844210899
262.004	9.19821652450196	371.5	216.532344089228	371.5	204.458932629297
263.128	8.96419016710619	372	206.286963792552	372	203.181021047695
264.252	5.97611117985177	372.5	195.743174184262	372.5	201.903109466093
265.377	-0.484397042608632	373	189.220280059967	373	200.625197884492
266.502	12.2409510285685	373.5	189.663499658501	373.5	199.34728630289
267.627	14.6696843003261	374	194.764010124611	374	198.069374721288
268.753	16.2267510820228	374.5	196.791463139686	374.5	196.791463139686
269.879	11.5366706761026	375	192.475281333771	375	195.513551558085
271.005	2.01428891954194	375.5	189.237072687398	375.5	194.235639976483
272.131	7.04982599485123	376	193.253076345012	376	192.957728394881
273.257	16.9293164123755	376.5	196.076197055885	376.5	191.679816813279
274.384	7.57427705478578	377	185.467427681647	377	190.401905231677
275.511	25.8553812903211	377.5	165.020083482541	377.5	189.123993650076
276.638	-10.2481439568323	378	150.075533401901	378	187.846082068474
277.765	-10.2436165213554	378.5	147.697987354462	378.5	186.568170486872
278.893	20.2861528466765	379	151.045517776517	379	185.29025890527
280.02	30.6777480870521	379.5	153.076702665179	379.5	184.012347323669
281.149	11.9992470847343	380	150.746404275779	380	182.734435742067
282.277	21.636935588884	380.5	142.513008756798	380.5	181.456524160465
283.405	48.5181904110596	381	132.177576636046	381	180.178612578863
284.534	26.176910669886	381.5	126.321186629853	381.5	178.900700997261
285.663	9.52253417595053	382	127.568312615719	382	177.62278941566
286.792	22.0086884805303	382.5	133.832563669465	382.5	176.344877834058
287.922	39.1783992586276	383	142.706810092571	383	175.066966252456
289.051	22.7877362064328	383.5	151.654760150044	383.5	173.789054670854
290.181	18.8658441552427	384	159.075766724043	384	172.511143089253
291.311	28.6437709699004	384.5	169.482160495701	384.5	171.233231507651
292.441	39.0941650057912	385	189.484786401768	385	169.955319926049
293.572	7.9823442276848	385.5	220.061598055948	385.5	168.677408344447
294.703	17.6643094452464	386	257.273284027353	386	167.399496762846
295.834	25.9492860706255	386.5	300.665486680723	386.5	166.121585181244
296.965	40.2518513637057	387	356.800983714786	387	164.843673599642
298.096	23.9720508479183	387.5	431.489973539164	387.5	163.56576201804
299.228	31.2637625317345	388	523.517831770076	388	162.287850436438
300.36	31.9319877229721	388.5	630.234172404251	388.5	161.009938854837
301.492	21.4150838473131	389	755.560178939032	389	159.732027273235
302.624	38.5462398806556	389.5	907.477058565826	389.5	158.454115691633
303.757	29.1840111123719	390	1082.71545074758	390	157.176204110031
304.89	49.5489563242611	390.5	1261.83026739959	390.5	155.89829252843
306.023	52.7319142097004	391	1433.19269208807	391	154.620380946828
307.156	82.1953457608422	391.5	1614.92589559384	391.5	153.342469365226
308.29	96.7072536001056	392	1826.84664885101	392	152.064557783624
309.423	117.633208204913	392.5	2052.64810481222	392.5	150.786646202023
310.557	133.88574498511	393	2259.14249462284	393	149.508734620421
311.691	176.705427530193	393.5	2434.79302975672	393.5	148.230823038819
312.826	218.796177779496	394	2591.58921841199	394	146.952911457217
313.96	240.583139019729	394.5	2736.76634568455	394.5	145.674999875615
315.095	294.96395864325	395	2863.2464427567	395	144.397088294014
316.23	336.605986280687	395.5	2962.58148271523	395.5	143.119176712412
317.365	359.63407623764	396	3030.72672723912	396	141.84126513081
318.501	423.794637774724	396.5	3065.41400259248	396.5	140.563353549208
319.637	457.277480810437	397	3067.18391483708	397	139.285441967607
320.773	456.323374003059	397.5	3038.83245190824	397.5	138.007530386005
321.909	490.463045020907	398	2977.6600221602	398	136.729618804403
323.045	522.032116731182	398.5	2870.84612289455	398.5	135.451707222801
324.182	529.260772437888	399	2711.34127181756	399	134.1737956412
325.318	509.456942708373	399.5	2521.69135293462	399.5	132.895884059598
326.455	521.38728166778	400	2330.49587341864	400	131.617972477996
327.593	503.440576305368	400.5	2144.17652751117	400.5	130.340060896394
328.73	503.648191624877	401	1955.19023130332	401	129.062149314792
329.868	492.487854874423	401.5	1762.2794983719	401.5	127.784237733191
331.006	487.638555513059	402	1573.29345251464	402	126.506326151589
332.144	479.625976040296	402.5	1393.55671547643	402.5	125.228414569987
333.282	477.340473475717	403	1217.9977747198	403	123.950502988385
334.421	456.343571822968	403.5	1041.13706041126	403.5	122.672591406784
335.559	476.707512041311	404	871.41406290183	404	121.394679825182
336.698	457.131303269532	404.5	723.719058676772	404.5	120.11676824358
337.837	458.544423341393	405	602.971891833325	405	118.838856661978
338.977	474.362416844365	405.5	503.147657347991	405.5	117.560945080377
340.116	520.085510898474	406	418.329620337988	406	116.283033498775
341.256	657.102881827776	406.5	344.240327857401	406.5	115.005121917173
342.396	1181.96539556479	407	277.753327339843	407	113.727210335571
343.537	2729.87805116684	407.5	221.261621000838	407.5	112.449298753969
344.677	5696.75766141195	408	178.941583050338	408	111.171387172368
345.818	9979.82270484045	408.5	149.592673880283	408.5	109.893475590766
346.959	14172.6807240047	409	127.409111650805	409	108.615564009164
348.1	14297.2784300851	409.5	108.685022446498	409.5	107.337652427562
349.241	14269.5537680938	410	94.0374830019118	410	106.059740845961
350.382	14334.2193440971	410.5	83.9966615622194	410.5	104.781829264359
351.524	14381.7930980929	411	76.410665217323	411	103.503917682757
352.666	14535.8762347806	411.5	68.5151250359479	411.5	102.226006101155
353.808	13808.0199342028	412	59.6462045122572	412	100.948094519553
354.951	8465.21850503282	412.5	50.5856447272101	412.5	99.6701829379517
356.093	4388.57901658372	413	42.4876927258667	413	98.39227135635
357.236	1914.41524883305	413.5	37.0310171846801	413.5	97.1143597747482
358.379	737.166286240482	414	35.3261881821496	414	95.8364481931464
359.522	398.732290399985	414.5	36.2724001622988	414.5	94.5585366115446
360.666	315.603110715241	415	38.1814830633441	415	93.2806250299429
361.809	254.669493782695	415.5	38.5388810132033	415.5	92.0027134483411
362.953	229.147998835983	416	34.4859427603623	416	90.7248018667393
364.097	231.903392348186	416.5	26.8526157169087	416.5	89.4468902851375
365.241	219.373231376625	417	20.994751958981	417	88.1689787035358
366.386	213.615477421035	417.5	20.496342271408	417.5	86.891067121934
367.531	177.66283492529	418	23.1311472427085	418	85.6131555403322
368.675	220.592058134088	418.5	25.7433225696598	418.5	84.3352439587305
369.82	203.728757253848	419	25.8447131376432	419	83.0573323771287
370.966	219.50877784543	419.5	21.4228167117862	419.5	81.7794207955269
372.111	203.765236128692	420	14.6744108593598	420	80.5015092139251
373.257	188.462400904033	420.5	11.9647777323258	420.5	79.2235976323234
374.403	197.000110806662	421	15.7899349805839	421	77.9456860507216
375.549	189.312457714474	421.5	19.4573286940522	421.5	76.6677744691198
376.695	193.973529293397	422	16.6628268041805	422	75.3898628875181
377.842	153.31986860546	422.5	10.4502600031977	422.5	74.1119513059163
378.988	150.960713518047	423	6.87117356905384	423	72.8340397243145
380.135	149.095003355063	423.5	7.57467225672563	423.5	71.5561281427128
381.282	127.947516447727	424	10.6168548813341	424	70.278216561111
382.43	132.741628593814	424.5	13.9975608251345	424.5	69.0003049795092
383.577	152.87613089529	425	15.8060374804188	425	67.7223933979075
384.725	176.981779688829	425.5	14.8562307082693	425.5	66.4444818163057
385.873	247.400672992231	426	13.1875134550156	426	65.1665702347039
387.021	359.547120381578	426.5	13.517512444239	426.5	63.8886586531021
388.169	557.978947750933	427	15.7128359929577	427	62.6107470715004
389.318	848.699373301566	427.5	17.73605209656	427.5	61.3328354898986
390.467	1250.29836950816	428	18.5952056392304	428	60.0549239082968
391.616	1661.14555302011	428.5	18.945090898576	428.5	58.777012326695
392.765	2166.33072385557	429	19.0552072641435	429	57.4991007450933
393.914	2565.40524053661	429.5	17.280914181359	429.5	56.2211891634915
395.064	2877.6152538195	430	12.033121462461	430	54.9432775818897
396.213	3049.68434629136	430.5	6.4705759467314	430.5	53.665366000288
397.363	3049.46555983859	431	6.23920303675903	431	52.3874544186862
398.513	2867.33505361968	431.5	10.8488236013097	431.5	51.1095428370844
399.664	2458.08303283736	432	11.9703659229345	432	49.8316312554826
400.814	2026.23397072817	432.5	5.07282903995407	432.5	48.5537196738809
401.965	1586.21693977056	433	-1.505784197545	433	47.2758080922791
403.116	1177.10205250776	433.5	1.15789047027061	433.5	45.9978965106774
404.267	788.98156659581	434	8.00381367640274	434	44.7199849290756
405.418	518.359234451867	434.5	7.87739338438099	434.5	43.4420733474738
406.57	334.494645597227	435	0.614515649548931	435	42.164161765872
407.721	200.639319940562	435.5	-2.16479283916859	435.5	40.8862501842703
408.873	132.68177519596	436	5.5838183153185	436	39.6083386026685
410.025	93.4319751598852	436.5	14.6183181173525	436.5	38.3304270210667
411.178	73.7470612494136	437	15.3435413001875	437	37.052515439465
412.33	53.6345361328919	437.5	10.7376451924006	437.5	35.7746038578632
413.483	37.1546500528913	438	8.41415185696677	438	34.4966922762614
414.636	36.778757767617	438.5	10.4095660547634	438.5	33.2187806946596
415.789	36.8755918619945	439	13.6522471828695	439	31.9408691130579
416.942	21.4037124026346	439.5	15.8265429636478	439.5	30.6629575314561
418.095	23.7178311947934	440	16.5985412772123	440	29.3850459498543
419.249	24.2761871388057	440.5	15.9573149318306	440.5	28.1071343682526
420.403	11.8786466897149	441	14.2786798110006	441	26.8292227866508
421.557	19.5092259662617	441.5	12.0478649982085	441.5	25.551311205049
422.711	8.33396112637011	442	9.47633863276052	442	24.2733996234473
423.865	9.68114256317217	442.5	6.56681753624275	442.5	22.9954880418455
425.02	15.8187843272993	443	3.92454667617402	443	21.7175764602437
426.175	12.979245472514	443.5	3.24923082663317	443.5	20.4396648786419
427.33	17.1870165736533	444	5.72125382779764	444	19.1617532970402
428.485	18.9344392166329	444.5	9.69679794124791	444.5	17.8838417154384
429.64	16.1628785520807	445	12.9213269205251	445	16.6059301338366
430.796	5.39373653633321	445.5	15.3280185522349	445.5	15.3280185522349
431.951	12.2596918786189	446	18.2984289214645	446	14.0501069706331
433.107	-1.84337449880162	446.5	21.1193709134137	446.5	12.7721953890313
434.263	9.3732200745279	447	19.7754131045734	447	11.4942838074296
435.419	-2.51387262972762	447.5	12.4261763531226	447.5	10.2163722258278
436.576	15.3771644395972	448	6.61213769896664	448	8.93846064422601
437.733	8.98694079094448	448.5	10.8339618706797	448.5	7.66054906262424
438.889	12.9878017660904	449	20.3361742144828	449	6.38263748102247
440.046	16.5961757003349	449.5	22.7170053909743	449.5	5.1047258994207
441.204	13.4117726567263	450	14.8532987796258	450	3.82681431781893
442.361	7.40607925905768				
443.518	3.2845581111198				
444.676	11.0005796833372				
445.834	17.1801906685947				
446.992	19.8520836043732				
448.151	6.63288561468593				
449.309	23.3497939382187				
450.468	6.75558021913653				
451.627	6.88863103338799				
452.786	7.17952548513307				
453.945	14.9847644361309				
455.104	9.38363488918801				
456.264	8.25642136886353				
457.423	15.512578757441				
458.583	24.5112999677457				
459.743	13.8551934449777				
460.904	4.56020051474526				
462.064	2.50785412220413				
463.225	4.3825585615326				
464.386	10.9119233009062				
465.547	7.46219894175873				
466.708	15.1796713725333				
467.869	3.70242932275447				
469.031	16.0009902170201				
470.192	11.4991213541421				
471.354	11.8005270053846				
472.516	3.67350060262005				
473.678	11.0072346323338				
474.841	8.541096635534				
476.003	5.18835044496642				
477.166	11.1080179861927				
478.329	-7.74144217078181				
479.492	9.69134541376781				
480.655	15.7597072579038				
481.819	15.1725770153803				
482.982	9.42101061006443				
484.146	13.5440477635536				
485.31	0				
486.474	3.04210436825242				
487.638	10.9534315408305				
488.803	5.47464442968897				
489.967	17.795184772903				
491.132	4.8765599548772				
492.297	2.43551076647192				
493.462	0.760070344186762				
494.627	1.21595343858949				
495.793	5.77404784814349				
496.959	14.1194119657801				
498.124	4.24994685353171				
499.29	12.5857939162644				
500.456	10.9118181299425				
501.623	16.394640493514				
502.789	4.08920238593098				
503.956	15.7595037240147				
505.122	-3.94188749680688				
506.289	7.25930085810695				
507.456	-8.30073682688116				
508.624	2.10981157666572				
509.791	-6.62879425689398				
510.959	0.7517154600387				
512.126	12.0004490356581				
513.294	-2.24215551475505				
514.462	-3.44123565534839				
515.631	1.79422056439953				
516.799	-3.73280880656097				
517.968	8.80336136557207				
519.136	4.91219664165779				
520.305	9.37901322192805				
521.474	2.52891027806955				
522.643	2.67389878751569				
523.813	2.82265280709132				
524.982	0.148439556800636				
526.152	6.66311390025082				
527.322	-8.74487274719897				
528.492	-10.0871152350483				
529.662	7.24091156961377				
530.832	-4.58877879455371				
532.003	7.26911732386722				
533.173	10.2570349048677				
534.344	10.5666066066736				
535.515	0.448287209789185				
536.686	3.90033912753312				
537.857	2.85713806782817				
539.028	15.5402387754381				
540.2	4.98298570426867				
541.372	5.91698530227864				
542.543	2.43206093538661				
543.715	8.19940320321695				
544.887	4.71794737522575				
546.06	1.98850122766903				
547.232	11.4915233955962				
548.405	7.96282266332019				
549.577	9.1842608074969				
550.75	8.89122440581532				
551.923	7.06745921422383				
553.096	4.45051277578559				
554.27	2.30396046142514				
555.443	-5.08222737145897				
556.617	-4.93940931334661				
557.791	6.96699276671537				
558.964	3.41443177087862				
